@relation SISPPAFUT
@attribute qEquiposLiga numeric
@attribute mes numeric
@attribute Local_PosLiga numeric
@attribute Local_Pts numeric
@attribute Local {True, False}
@attribute Local_PosRankMund numeric
@attribute Local_qExpulsados numeric
@attribute Local_qSuspendidos numeric
@attribute Local_GolesAnotados numeric
@attribute Local_GolesEncajados numeric
@attribute Local_PromEdad real
@attribute Local_qPartidosMes numeric
@attribute Visita_PosLiga numeric
@attribute Visita_Pts numeric
@attribute Visita {True, False}
@attribute Visita_PosRankMund numeric
@attribute Visita_qExpulsados numeric
@attribute Visita_qSuspendidos numeric
@attribute Visita_GolesAnotados numeric
@attribute Visita_GolesEncajados numeric
@attribute Visita_PromEdad real
@attribute Visita_qPartidosMes numeric
@attribute resultado {L, E, V}
@data
20,8,7,0,True,7,0,0,0,0,28.91,0,18,0,False,344,0,0,0,0,29.00,0,L
20,8,12,0,True,344,0,0,0,0,31.55,0,10,0,False,96,0,0,0,0,27.27,0,V
20,8,15,0,True,211,0,0,0,0,28.73,0,1,0,False,2,0,0,0,0,28.82,0,V
20,8,17,0,True,344,0,0,0,0,29.27,0,5,0,False,27,0,0,0,0,31.09,0,V
20,8,14,0,True,256,0,0,0,0,28.64,0,20,0,False,344,0,0,0,0,28.82,0,E
20,8,16,0,True,344,0,0,0,0,30.09,0,9,0,False,12,0,0,0,0,30.36,0,V
20,8,4,0,True,310,0,0,0,0,26.64,0,8,0,False,103,0,0,0,0,28.18,0,L
20,8,11,0,True,344,0,0,0,0,28.45,0,3,0,False,65,0,0,0,0,29.64,0,L
20,8,13,0,True,277,0,0,0,0,31.82,0,19,0,False,344,0,0,0,0,28.36,0,E
20,8,6,0,True,175,0,0,0,0,29.36,0,2,0,False,18,0,0,0,0,27.45,0,E
20,9,3,3,True,2,0,0,3,0,28.82,1,15,0,False,349,1,0,0,1,31.55,1,V
20,9,4,3,True,14,0,0,3,1,31.09,1,19,0,False,231,0,0,0,3,28.73,1,L
20,9,9,1,True,19,0,0,0,0,27.45,1,11,1,False,301,0,0,0,0,31.82,1,L
20,9,6,3,True,136,0,0,1,0,27.27,1,1,3,False,7,0,0,4,0,28.91,1,V
20,9,20,0,True,349,0,0,0,4,29.00,1,10,1,False,186,0,0,0,0,29.36,1,L
20,9,13,1,True,349,0,0,0,0,28.82,1,17,0,False,349,0,0,1,3,29.27,1,V
20,9,16,0,True,72,0,0,1,3,28.18,1,18,0,False,349,0,0,1,4,30.09,1,L
20,9,14,0,True,51,0,0,0,1,29.64,1,5,3,False,333,0,0,3,1,26.64,1,L
20,9,2,3,True,24,0,0,4,1,30.36,1,8,1,False,316,0,0,0,0,28.64,1,E
20,9,12,1,True,349,1,0,0,0,28.36,1,7,3,False,349,0,0,1,0,28.45,1,E
20,9,12,3,True,333,1,0,3,5,26.64,2,14,2,False,349,0,0,2,2,28.36,2,L
20,9,18,1,True,186,1,0,0,2,29.36,2,16,1,False,301,0,0,0,1,31.82,2,L
20,9,13,3,True,349,0,0,2,4,29.00,2,11,3,False,136,0,0,2,2,27.27,2,E
20,9,4,4,True,349,0,0,3,2,28.45,2,5,4,False,19,0,0,1,0,27.45,2,V
